id,left_image_path,right_image_path,left_higher_organization,pair_weight
004e67a2860a,train/49f4d5a32319.png,train/b99d0c2dae11.png,1,1.56567
010807a58cc1,train/a0713920bdbb.png,train/feb7a02af5df.png,0,2.109382
015653b276f3,train/5dd6bc3423b9.png,train/2774b050c30b.png,0,2.62776
02324e70c03f,train/fb4c7e0a4d3a.png,train/1d7be2ec1851.png,1,1.576766
03ef3ecd5a33,train/3bc77f0484e8.png,train/855dec62d54f.png,0,1.399511
040c1e85626e,train/adfe507a03a2.png,train/fee6b7f1371c.png,0,1.442785
04240a90d2ee,train/36499adf2292.png,train/af5072ff6452.png,1,1.808386
04258c5912d7,train/bddcc1033442.png,train/06d1c828d2ff.png,0,1.328525
04389d5bbde6,train/11027b3aa84c.png,train/c86dc5b57001.png,1,1.593984
04538979e776,train/e026b527181b.png,train/fea203ba5834.png,1,1.76607
04e99b2dbe66,train/73d1dd43ecb0.png,train/c212c39a67df.png,1,1.880433
0537872324e0,train/0f989256b946.png,train/05fb90066af8.png,0,2.397735
05bcc0a170eb,train/88069d9ddc98.png,train/2774b050c30b.png,0,1.724399
06909ef87beb,train/9f3fc3aaaca3.png,train/c3db32a6adc4.png,1,1.555512
06c38f4554ae,train/bddcc1033442.png,train/7943073c25ca.png,0,1.798577
06d28c566ce2,train/07cbd1f366a8.png,train/fb545b27303e.png,1,1.346231
073836d44735,train/e8b89f2d0d38.png,train/3e061b786246.png,1,1.60984
073f11dc31ff,train/38af92a40aa6.png,train/d9942dede297.png,1,1.58386
0758519b2570,train/ece7956c65f6.png,train/11931268fcfe.png,0,1.329438
087e3d125bb2,train/e899214457ad.png,train/fd6c2726d04a.png,0,2.079514
08aed0568c5f,train/122db3090a49.png,train/3b3f29e9214f.png,1,1.977701
0a008d5d87b6,train/87148b6084ab.png,train/b43d5d9c90f8.png,1,1.833823
0a95b09c261b,train/b4296483a9bf.png,train/36499adf2292.png,0,1.518213
0aa442f6bffc,train/7fff443e15f1.png,train/88652156e19f.png,0,1.607763
0b59fbcd9916,train/fa4b76dfe542.png,train/ee1312c816f0.png,1,1.589981
0b6c99431cde,train/79cc1310d6e2.png,train/e8b89f2d0d38.png,1,1.66585
0b881c237d63,train/7943073c25ca.png,train/e66d82298637.png,0,1.297551
0c2ba185f78d,train/a87603b1df61.png,train/9c860aa3f276.png,1,1.598522
0c80fcc495ba,train/53cb529e5c5a.png,train/0bb8db5f746f.png,1,1.289933
0c88a9f3653d,train/bdb2c3f701ac.png,train/c3db32a6adc4.png,1,1.414341
0ceeac2a4c99,train/605ad3b023a1.png,train/bb2f0e9ceaf4.png,1,2.286627
0d4e5412c181,train/605ad3b023a1.png,train/ff8922cfbe3e.png,1,1.484126
0dc6631c010c,train/af6d11aed1d7.png,train/999d78974c0d.png,1,1.473872
0ec84b73ab6e,train/d682d3f483ae.png,train/fa4b76dfe542.png,0,1.331964
0f22ac9ee6cb,train/05fb90066af8.png,train/cbdd68e0a5f6.png,1,2.109852
0f97495b5e8d,train/d682d3f483ae.png,train/b3f1246fc6b8.png,0,2.000277
0fe0d8d48929,train/889a897117df.png,train/885d9dc4497b.png,0,1.467775
10201d32dbce,train/cc7156f4b2ec.png,train/bb2f0e9ceaf4.png,1,1.427493
108ea05330e0,train/87148b6084ab.png,train/d01b3e9b5fb3.png,1,2.177636
10cfa632126d,train/0f989256b946.png,train/2543c2d459ea.png,0,1.5197
11058bc3ce8a,train/f365db7a482c.png,train/60583b0f668b.png,1,1.448586
11195b690b01,train/22ddaa54c6c7.png,train/1246ca6d01df.png,1,1.384514
113c2fd15903,train/1b0d2311688c.png,train/83f9c1caba30.png,0,1.4589
11bddd5e432e,train/586b96b84434.png,train/70d9ab68008c.png,0,1.417316
11f6a094ea47,train/b5cbf1394b38.png,train/4e6af9fc139d.png,0,2.385932
1206b81001b2,train/855dec62d54f.png,train/8dcff19fe567.png,0,1.295077
139fa3e93808,train/11931268fcfe.png,train/03bd450fe1df.png,1,1.329438
145f504ae3b1,train/bdae629d0090.png,train/85386e86d833.png,1,1.30446
14715706d9ff,train/e8b89f2d0d38.png,train/c6bafa22bd32.png,0,1.337805
148a9c332dca,train/1dd12dcfa619.png,train/11931268fcfe.png,0,1.329438
148d3117d7b5,train/2543c2d459ea.png,train/2b3b004700d1.png,1,1.288609
14d5160affd6,train/aaa1114e22eb.png,train/9b96c8666a9d.png,1,1.521763
14e1c1d113f2,train/79ff9d9a9dfe.png,train/d99008ae2e6a.png,1,1.477336
153cca1aaea4,train/05fb90066af8.png,train/2b3b004700d1.png,1,2.107165
15659077c874,train/0670f91243ce.png,train/76969fca0a49.png,1,2.34744
15a1a121dd86,train/63cddea0a8cf.png,train/605e62b3a04f.png,0,1.489522
15deaaa1f8c1,train/530d8f9adfa3.png,train/791a64b1dca2.png,1,1.355144
1630a698fdbf,train/fee6b7f1371c.png,train/eed84c3798a2.png,1,1.276901
1667d1087de0,train/f372e2e94453.png,train/e899214457ad.png,1,2.37943
169570d159fb,train/5472340443df.png,train/1246ca6d01df.png,1,1.386424
16a1a730781d,train/5dd6bc3423b9.png,train/aeb4937a61f8.png,0,1.564375
16bf635c8959,train/32f674602ff2.png,train/b4296483a9bf.png,1,1.775783
16e3b0b75b87,train/e899214457ad.png,train/f5199cb3318a.png,0,2.126688
175ad59255fc,train/f8d4c5da0a5b.png,train/fb4c7e0a4d3a.png,0,1.317179
17747de0fb8c,train/49f4d5a32319.png,train/9c860aa3f276.png,1,1.599298
179dd2578fe7,train/e8b89f2d0d38.png,train/b99d0c2dae11.png,1,1.360747
17b902c575e6,train/9f3fc3aaaca3.png,train/795775759ecd.png,1,1.555512
17c3ad28ffbb,train/ffafd0305bbd.png,train/c6bafa22bd32.png,0,1.516099
18acfd7636bc,train/48c498e7a788.png,train/73d1dd43ecb0.png,0,1.873925
18e2603cc83f,train/af6d11aed1d7.png,train/423828981c59.png,1,1.318279
1931f26a737b,train/c9bf15592764.png,train/1c22a5e817c6.png,1,1.720598
1955a7616820,train/fff91df3d99c.png,train/2d558337c344.png,0,1.501988
19a4132cb85e,train/70d9ab68008c.png,train/70b2b70135c1.png,1,1.370532
19f3f3f8e0a2,train/11027b3aa84c.png,train/d01b3e9b5fb3.png,1,1.540286
1b226f61c194,train/544b4a59c1b6.png,train/f8c1177f4eb7.png,0,1.281815
1b51a838570e,train/544b4a59c1b6.png,train/9f3fc3aaaca3.png,0,1.555512
1c10f210f38f,train/aaa1114e22eb.png,train/65aadc352e1f.png,1,1.521763
1c7c4f458bb5,train/7e41acb03a9e.png,train/b5cbf1394b38.png,1,2.083243
1cc0721bdf6e,train/1dd12dcfa619.png,train/5472340443df.png,0,1.386424
1d2fbdae04e1,train/07cbd1f366a8.png,train/973ebb513beb.png,1,1.565137
1d5d1eb3eac1,train/ccdadee52269.png,train/9b9f21bf9e47.png,1,1.430137
1d93ace5d52a,train/423828981c59.png,train/44962c815c5f.png,0,1.373666
1dc1835b62e6,train/b99d0c2dae11.png,train/df86412d40e6.png,0,1.555018
1e448e33d648,train/390c59d427c4.png,train/d4f728ebadce.png,0,1.312617
1e5a327bcf7d,train/3ad7d0f667d5.png,train/3e1e55d4cc27.png,0,1.411471
1e7dfdfd8acd,train/1e38c0c4f6c3.png,train/13a0265d9d81.png,1,1.695835
1e8199c7a2c0,train/04c574c889cf.png,train/530d8f9adfa3.png,1,1.814767
1ea6de15e6ce,train/c738c56e6247.png,train/bdae629d0090.png,0,1.30446
1eacdae9a06a,train/d6e236c199fe.png,train/2a38cfb3b567.png,1,1.780715
1efdc5ac10c6,train/13fdcf918ce7.png,train/fb4c7e0a4d3a.png,0,1.576766
1f4cc85f464c,train/7943073c25ca.png,train/a9b92855f3dd.png,1,1.272356
1f772506bba5,train/d819ccfacd4b.png,train/53609a3931b6.png,1,1.313489
1fb3067300eb,train/97450826a260.png,train/5911fa97295c.png,1,2.212262
20663975f027,train/a87603b1df61.png,train/dc28b65a154d.png,1,1.326095
20880a1a6a32,train/bdb2c3f701ac.png,train/8dcff19fe567.png,0,1.443461
20b169f3ba95,train/1e38c0c4f6c3.png,train/a6998522327a.png,1,1.41645
20f46130c7ed,train/a8a2b9916a65.png,train/226b9f911be9.png,1,1.383162
2137c429a3e7,train/6a3f46f36ee1.png,train/45f321e57216.png,0,1.706465
214df56a503e,train/e7248aeb87e2.png,train/3fd2ff3eaba6.png,0,1.856315
214ed2fb9825,train/ee7ac83db38f.png,train/fb4c7e0a4d3a.png,0,1.305023
2187833fc569,train/3bc77f0484e8.png,train/0670f91243ce.png,0,2.514163
22a08ec40fe4,train/53cb529e5c5a.png,train/67368037ae16.png,1,1.289933
236f333444da,train/3da3d1dafa5f.png,train/0bd26f9202b4.png,1,1.583364
23a3a1a59b05,train/c6bafa22bd32.png,train/b43d5d9c90f8.png,1,1.491748
23e8db6923aa,train/3da3d1dafa5f.png,train/4094eb99622b.png,1,1.379654
2470494b3748,train/a9b92855f3dd.png,train/6aba41b17339.png,1,1.589028
2481cf9bc04d,train/76969fca0a49.png,train/3da3d1dafa5f.png,0,1.284935
24e63e6a49ca,train/122db3090a49.png,train/13252c7ea979.png,1,1.977701
25356792d6a1,train/dc28b65a154d.png,train/073a5ca4dcfa.png,0,1.474357
25772c39aa00,train/073a5ca4dcfa.png,train/dc83159f3fd6.png,1,1.768493
26076daaf528,train/79cc1310d6e2.png,train/fe2fdaa42ff6.png,1,2.248338
262607935341,train/38af92a40aa6.png,train/70b2b70135c1.png,1,1.55667
262a8b6e397c,train/1dd12dcfa619.png,train/22ddaa54c6c7.png,0,1.384514
263457a0e14c,train/cb48efd0fc57.png,train/3da3d1dafa5f.png,0,1.410124
263aa42f3c2e,train/465dd4377a70.png,train/4096f700ad88.png,0,1.425625
2663d46cff62,train/cb48efd0fc57.png,train/af6d11aed1d7.png,0,1.308797
26d3e12a95a1,train/c212c39a67df.png,train/acb7075bc07a.png,0,1.531037
26f3dacc01bd,train/88652156e19f.png,train/b4296483a9bf.png,1,1.667377
